Row_ID,Sex,Is Satisfied with space allocated,Is satisfied with hygiene and sanitation,Is enough healthcare facilities,Is satisfied with the quality of healthcare,Is satisfied with the level of psychological support,Is satisfied with the level of social support,Able to exercise religion freely,Is satisfied with the no of religious facilities,Is enough educational opportunities (< 12 yrs),Are enough educational opportunities (12-18 yrs),Are enough educational opportunities (> 18 yrs),Is satisfied with the quality of education,Is satisfied with the no of job opportunities,Is satisfied with the income,Is satisfied with the overall help from NGOs,Enough good friends,Consider any Bangladeshis as friends,Believe Rohingya and Bangladeshis can be good friends,Have trust on the police/military/guards of camps in Bangladesh,Trust on the NGOs in the camp,Feel stressed or overwhelmed by situation,Talking about problems with others ,Solving problems alone or by asking others,Comfortable talking about problems with NGO workers,Is the situation in the camp is better now or 6 months ago,Smoke cigarettes?,Average cigarettes per day,Smoke before coming to Bangladesh,Chew betel nuts,How many betel nuts a day on average?,Chew before coming to Bangladesh,Ever seen any Rohingya use medicine or syrup often without needing it,Suspense any Rohingya in the camp who use drug,Have you ever seen any Rohingya in the camp use illegal substances (like alcohol or drugs)?,Suspense any Rohingya in the camp who are involved in illegal activities,Hear people talking about violent groups in the camp,Thoughts on violence in the camp has changed over time,Thoughts on sexual harassment in the camp happens often,Where does sexual harassment happen the most?,How afraid are you to leave your child unattended in the camp after it gets dark?,Do you think that there are Rohingya families whose child has gone missing since they moved to Bangladesh?,Do you personally know any Rohingya families whose child has gone missing since they moved to this camp?,To what extent do you feel at home in the camp in Bangladesh now?,Do you know that the Bangladesh government plans on moving Rohingya to Bhasan Char?,Are you willing to go?,Do you think that the government of Myanmar will recognize the rights of Rohingya in the next two years?,Will you return to Myanmar?,Do you think that repatriation to Myanmar will happen in the next two years?,Know any Rohingya who left Bangladesh in the last six months,Where did they go?,Have you thought about leaving to go to another country other than Myanmar and Bangladesh?,How scared are you to leave for another country?,Where do you think you will be in six months from now?,"If you could choose any country in the world, other than Myanmar, where would you go?",Where do you think the majority of Rohingya would choose to go if they could choose freely (apart from Myanmar)?,How do you feel about the future?
11584,Female,Unsatisfied,Satisfied,TRUE,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,TRUE,FALSE,TRUE,Quite a bit of trust,Neither trust nor distrust,TRUE,trying to forget,I ask for help,Neither comfortable nor uncomfortable,same-nothing has changed,FALSE,,,TRUE,5,Yes,,N/A,,N/A,A few times a month,Decreased,I don't want to answer,,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,Yes,Malaysia,TRUE,very scared,Can't imagine/I am not sure where I will be,Canada,USA,positive
11585,Female,Unsatisfied,Satisfied,TRUE,Neither satisfied nor unsatisfied,Satisfied,Unsatisfied,TRUE,Very satisfied,TRUE,Yes,FALSE,Neither satisfied nor unsatisfied,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,TRUE,TRUE,Quite a bit of trust,Quite a bit of trust,TRUE,trying to forget,I ask for help,Neither comfortable nor uncomfortable,now,FALSE,,,TRUE,10,Yes,,N/A,,N/A,A few times a month,Decreased,I don't want to answer,,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,Can't imagine/I am not sure where I will be,Saudi Arabia,Canada,N/A
11586,Female,Satisfied,Unsatisfied,TRUE,Unsatisfied,Satisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Neither satisfied nor unsatisfied,Very unsatisfied,Very unsatisfied,Unsatisfied,TRUE,FALSE,TRUE,Little trust,Quite a bit of trust,TRUE,talking,I solve my problems myself,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,3,Yes,,N/A,,N/A,Never,Same,No,,Very afraid,TRUE,TRUE,Very little,Yes,No,FALSE,TRUE,FALSE,Yes,Malaysia,FALSE,very scared,Can't imagine/I am not sure where I will be,Australia,Canada,positive
11587,Female,Unsatisfied,Neither satisfied nor unsatisfied,TRUE,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Unsatisfied,TRUE,TRUE,TRUE,Little trust,Quite a bit of trust,TRUE,trying to forget,I ask for help,Neither comfortable nor uncomfortable,same-nothing has changed,FALSE,,,TRUE,20,No,,Yes,TRUE,N/A,A few times a month,Decreased a lot,I don't want to answer,,Very afraid,TRUE,TRUE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,very scared,"Here, in the camp",Pakistan,Australia,positive
11590,Female,Satisfied,Satisfied,TRUE,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very unsatisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,TRUE,TRUE,TRUE,Quite a bit of trust,Quite a bit of trust,FALSE,trying to forget,I solve my problems myself,Very comfortable,same-nothing has changed,FALSE,,,TRUE,7,Yes,,N/A,,N/A,A few times a week,Same,No,,Not afraid,TRUE,FALSE,Not at all,No,,FALSE,TRUE,FALSE,No,,FALSE,very scared,Can't imagine/I am not sure where I will be,I don't want to go anywhere else.,I don't know about the majority,neither positive nor negative
11591,Female,Satisfied,Unsatisfied,TRUE,Unsatisfied,Unsatisfied,Very satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Satisfied,Very unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,six months ago,FALSE,,,FALSE,,,,No,,N/A,A few times a week,Decreased,No,,Afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,very scared,Can't imagine/I am not sure where I will be,Saudi Arabia,No reply/No comment,very positive
11592,Female,Satisfied,Unsatisfied,TRUE,Unsatisfied,Unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Satisfied,Unsatisfied,Satisfied,TRUE,TRUE,TRUE,No trust at all,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,,N/A,,N/A,Never,Same,No,,Afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,Can't imagine/I am not sure where I will be,What ever the government wants.,I don't know about the majority,negative
11599,Female,Satisfied,Satisfied,TRUE,Unsatisfied,Neither satisfied nor unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Very satisfied,Unsatisfied,Very satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Very comfortable,same-nothing has changed,FALSE,,,FALSE,,,,N/A,,N/A,A few times a year,Decreased,No,,I don't have children - does not apply,FALSE,,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,Can't imagine/I am not sure where I will be,USA,I don't know about the majority,negative
11601,Female,Satisfied,Unsatisfied,TRUE,Unsatisfied,Satisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Neither satisfied nor unsatisfied,Unsatisfied,Very unsatisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,trying to forget,I ask for help,Very comfortable,same-nothing has changed,FALSE,,,FALSE,,,,N/A,,N/A,A few times a month,Same,I don't want to answer,,Very afraid,FALSE,,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,Can't imagine/I am not sure where I will be,USA,USA,positive
11603,Female,Satisfied,Satisfied,TRUE,Unsatisfied,Neither satisfied nor unsatisfied,Satisfied,TRUE,Very unsatisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Very satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Very comfortable,same-nothing has changed,FALSE,,,TRUE,3,No,,N/A,,N/A,Never,Same,No,,Very afraid,FALSE,,Very little,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,Can't imagine/I am not sure where I will be,Canada,Canada,positive
