Row_ID,Sex,SatisfiedofSpaceAllocated,SatisfiedofHygieneAndSanitation,"Do you think there are enough healthcare facilities for Rohingya (like aid station, health centre, hospital)?",How satisfied are you with the quality of healthcare you and your family are receiving in the camp?,How satisfied are you with the level of psychological support you and your family are receiving in the camp?,How satisfied are you with the level of social support you and your family receive from neighbours and friends?,Do you think you are able to exercise your religion freely in the camp?,"How satisfied are you with the number of religious facilities (like madrasas, mosques) in the camp?",Do you think there are enough educational opportunities for Rohingya children below the age of 12 in the camp?,Do you think there are enough educational opportunities for Rohingya adolescents (between 12 and 18 years old) in the camp?,Do you think there are enough educational opportunities for Rohingya adults (older than 18 years old) in the camp?,How satisfied are you with the quality of education you and your family are receiving in the camp?,How satisfied are you with the number of job opportunities available to Rohingya adults in the camp?,How satisfied are you with the income your family makes in the camp?,How satisfied are you with the overall help you and your family have been receiving from NGOs?,How do you mostly hear about the news?,Who do you consider the most important person in your camp?,"Other than family, who do you go to when you have a problem?",Do you have enough good friends in the camp?,Do you consider any Bangladeshis as your friends?,Do you believe Rohingya and Bangladeshis can be good friends?,Do you think that there are Rohingya families who have married their daughter off to Bangladeshi boys/men?,Do you personally know any Rohingya family who has married their daughter off to a Bangladeshi boy/man?,How much do you trust the police/military/guards of camps in Bangladesh?,How much do you trust the NGOs in the camp?,How much do you trust the Majhis?,How much do you trust the Imam (religious leader)?,How often do you talk with Rohingya people outside Bangladesh and Myanmar?,In what countries are they now?,How often do you talk with others (non-Rohingya people) outside Bangladesh and Myanmar?,Do you often feel stressed or overwhelmed by your situation?,Do you prefer talking about your problems with others or trying to forget what you are going through?,Do you prefer solving your problems alone or by asking others for their help?,Does talking about your every day problems with others make you feel better?,How comfortable do you feel talking about your problems with NGO workers?,Do you think the situation in the camp is better now or 6 months ago?,Do you smoke cigarettes?,How many cigarettes a day on average?,Did you also smoke before coming to Bangladesh?,Do you chew betel nuts?,How many betel nuts a day on average?,Did you also chew before coming to Bangladesh?,Do you think that there are Rohingya in the camp who use medicine or drink syrup often without needing it?,Have you  ever seen any Rohingya in the camp use medicine or syrup often without needing it?,Do you think that there are Rohingya in the camp who use illegal substances (like alcohol or drugs)?,Have you ever seen any Rohingya in the camp use illegal substances (like alcohol or drugs)?,Do you think that there are Rohingya in the camp who are involved in illegal activities (like selling/transporting drinks or yaba)?,How often do you hear people talking about violent groups in the camp?,How do you think violence in the camp has changed over time?,Do you think that sexual harassment in the camp happens often?,Where does sexual harassment happen the most?,How afraid are you to leave your child unattended in the camp after it gets dark?,Do you think that there are Rohingya families whose child has gone missing since they moved to Bangladesh?,Do you personally know any Rohingya families whose child has gone missing since they moved to this camp?,To what extent do you feel at home in the camp in Bangladesh now?,Do you know that the Bangladesh government plans on moving Rohingya to Bhasan Char?,Are you willing to go?,Do you think that the government of Myanmar will recognize the rights of Rohingya in the next two years?,"If the Myanmar government recognizes the rights of Rohingya in the next two years, will you return to Myanmar?",Do you think that repatriation to Myanmar will happen in the next two years?,Do you personally know any Rohingya who left Bangladesh in the last six months?,Where did they go?,Have you thought about leaving to go to another country other than Myanmar and Bangladesh?,How scared are you to leave for another country?,Where do you think you will be in six months from now?,"If you could choose any country in the world, other than Myanmar, where would you go?",Where do you think the majority of Rohingya would choose to go if they could choose freely (apart from Myanmar)?,How do you feel about the future?,EnoughHealthcareFacilities
11584,Female,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,Quite a bit of trust,Neither trust nor distrust,Quite a bit of trust,A lot of trust,Once a week,,Never,TRUE,trying to forget,I ask for help,FALSE,Neither comfortable nor uncomfortable,same-nothing has changed,FALSE,,,TRUE,5,Yes,N/A,,N/A,,N/A,A few times a month,Decreased,I don't want to answer,,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,Yes,Malaysia,TRUE,very scared,Can't imagine/I am not sure where I will be,Canada,USA,positive,TRUE
11585,Female,Unsatisfied,Satisfied,,Neither satisfied nor unsatisfied,Satisfied,Unsatisfied,TRUE,Very satisfied,TRUE,Yes,FALSE,Neither satisfied nor unsatisfied,Unsatisfied,Unsatisfied,Unsatisfied,Friends and neighbours,CIC,Head Majhi,TRUE,TRUE,TRUE,TRUE,N/A,Quite a bit of trust,Quite a bit of trust,Quite a bit of trust,A lot of trust,Three times a month,,Never,TRUE,trying to forget,I ask for help,TRUE,Neither comfortable nor uncomfortable,now,FALSE,,,TRUE,10,Yes,N/A,,N/A,,N/A,A few times a month,Decreased,I don't want to answer,,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,Can't imagine/I am not sure where I will be,Saudi Arabia,Canada,N/A,TRUE
11586,Female,Satisfied,Unsatisfied,,Unsatisfied,Satisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Neither satisfied nor unsatisfied,Very unsatisfied,Very unsatisfied,Unsatisfied,Friends and neighbours,Block Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,Little trust,Quite a bit of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,talking,I solve my problems myself,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,3,Yes,No,,N/A,,N/A,Never,Same,No,,Very afraid,TRUE,TRUE,Very little,Yes,No,FALSE,TRUE,FALSE,Yes,Malaysia,FALSE,very scared,Can't imagine/I am not sure where I will be,Australia,Canada,positive,TRUE
11587,Female,Unsatisfied,Neither satisfied nor unsatisfied,,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Unsatisfied,Friends and neighbours,CIC,N/A,TRUE,TRUE,TRUE,FALSE,,Little trust,Quite a bit of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,trying to forget,I ask for help,FALSE,Neither comfortable nor uncomfortable,same-nothing has changed,FALSE,,,TRUE,20,No,N/A,,Yes,TRUE,N/A,A few times a month,Decreased a lot,I don't want to answer,,Very afraid,TRUE,TRUE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,very scared,"Here, in the camp",Pakistan,Australia,positive,TRUE
11590,Female,Satisfied,Satisfied,,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very unsatisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,TRUE,TRUE,FALSE,,Quite a bit of trust,Quite a bit of trust,Little trust,A lot of trust,Never,,Never,FALSE,trying to forget,I solve my problems myself,TRUE,Very comfortable,same-nothing has changed,FALSE,,,TRUE,7,Yes,N/A,,N/A,,N/A,A few times a week,Same,No,,Not afraid,TRUE,FALSE,Not at all,No,,FALSE,TRUE,FALSE,No,,FALSE,very scared,Can't imagine/I am not sure where I will be,I don't want to go anywhere else.,I don't know about the majority,neither positive nor negative,TRUE
11591,Female,Satisfied,Unsatisfied,,Unsatisfied,Unsatisfied,Very satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Satisfied,Very unsatisfied,Satisfied,"Social media (e.g. Facebook, Twitter, Instagram)",CIC,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Little trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,six months ago,FALSE,,,FALSE,,,N/A,,No,,N/A,A few times a week,Decreased,No,,Afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,very scared,Can't imagine/I am not sure where I will be,Saudi Arabia,No reply/No comment,very positive,TRUE
11592,Female,Satisfied,Unsatisfied,,Unsatisfied,Unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Satisfied,Unsatisfied,Satisfied,Friends and neighbours,Block Mahji,Block Majhi,TRUE,TRUE,TRUE,TRUE,No,No trust at all,A lot of trust,Little trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,N/A,,N/A,,N/A,Never,Same,No,,Afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,Can't imagine/I am not sure where I will be,What ever the government wants.,I don't know about the majority,negative,TRUE
11599,Female,Satisfied,Satisfied,,Unsatisfied,Neither satisfied nor unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Very satisfied,Unsatisfied,Very satisfied,"Social media (e.g. Facebook, Twitter, Instagram)",CIC,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Little trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,same-nothing has changed,FALSE,,,FALSE,,,N/A,,N/A,,N/A,A few times a year,Decreased,No,,I don't have children - does not apply,FALSE,,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,Can't imagine/I am not sure where I will be,USA,I don't know about the majority,negative,TRUE
11601,Female,Satisfied,Unsatisfied,,Unsatisfied,Satisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Neither satisfied nor unsatisfied,Unsatisfied,Very unsatisfied,Friends and neighbours,Block Mahji,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Quite a bit of trust,A lot of trust,More than once a week,,Never,TRUE,trying to forget,I ask for help,TRUE,Very comfortable,same-nothing has changed,FALSE,,,FALSE,,,N/A,,N/A,,N/A,A few times a month,Same,I don't want to answer,,Very afraid,FALSE,,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,Can't imagine/I am not sure where I will be,USA,USA,positive,TRUE
11603,Female,Satisfied,Satisfied,,Unsatisfied,Neither satisfied nor unsatisfied,Satisfied,TRUE,Very unsatisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Very satisfied,Friends and neighbours,Block Mahji,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Little trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,same-nothing has changed,FALSE,,,TRUE,3,No,N/A,,N/A,,N/A,Never,Same,No,,Very afraid,FALSE,,Very little,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,Can't imagine/I am not sure where I will be,Canada,Canada,positive,TRUE
